id,question,true_query,generated_query
d440a9848fc7ceb07f335a2d,List the passwords for the patients in the icu last month.,,SELECT T1.password FROM patients AS T1 JOIN icustays AS T2 ON T1.subject_id = T2.subject_id WHERE T2.outtime >= ( SELECT MAX(outtime) FROM icustays WHERE subject_id = 10004720 ) - INTERVAL '1 month'
574b827c1b18b74ef8d4e5aa,What is the average minimum humidity of the patients admitted to the icu yesterday?,,"SELECT AVG(T1.Humidity) FROM ( SELECT humidity FROM icu_log WHERE icu_log.icu_id IN ( SELECT icu.icu_id FROM icu WHERE icu.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.dischtime IS NOT NULL ) ) AND datetime(icu_log.timestamp,'start of day') = datetime(current_time,'start of day','-1 day') ) AS T1"
3a2dac716607f985a10414d6,Who are the patients that most recently received input medication from hwid1010?,,SELECT T1.name FROM patients AS T1 JOIN input_events AS T2 ON T1.subject_id = T2.subject_id WHERE T2.input_device_id = 1000 AND T2.start_time >= ( SELECT MAX(start_time) FROM input_events WHERE input_device_id = 1000 )
7bd71f98ee2dc6f246fa0efc,Which month of the year antihistamines are most prescribed?,,"SELECT T1.month, T1.drug FROM ( SELECT T1.month, T1.drug, COUNT(T1.drug) as prescription_count FROM ( SELECT prescriptions.month, prescriptions.drug FROM prescriptions WHERE prescriptions.drug IN ('antihistamines') ) AS T1 GROUP BY T1.month, T1.drug ) AS T2 WHERE T2.prescription_count = ( SELECT MAX(prescription_count) FROM ( SELECT T1.month, T1.drug, COUNT(T1.drug) as prescription_count FROM ( SELECT prescriptions.month, prescriptions.drug FROM prescriptions WHERE prescriptions.drug IN ('antihistamines') ) AS T1 GROUP BY T1.month, T1.drug ) AS T2 )"
a3dd6fd412e2c57c8e042d2c,What month of the year is prescribed for the most antihistamines?,,SELECT T1.month_prescribed FROM ( SELECT EXTRACT(MONTH FROM prescriptions.start_time) as month_prescribed FROM prescriptions WHERE prescriptions.drug_id = ( SELECT drugs.drug_id FROM drugs WHERE drugs.drug_name = 'antihistamines' ) ) as T1 JOIN ( SELECT EXTRACT(MONTH FROM prescriptions.start_time) as month_start FROM prescriptions WHERE prescriptions.drug_id = ( SELECT drugs.drug_id FROM drugs WHERE drugs.drug_name = 'antihistamines' ) ) as T2 ON T1.month_prescribed = T2.month_start
872a8cc39a2fa2be94add274,I.e. what is the address of patient 49036?,,SELECT address FROM patients WHERE patient_id = 49036
a751f404e68e0842c821fdd2,List the arrival times of diabetic patients this month.,,"SELECT COUNT(*) FROM patients AS T1 JOIN prescriptions AS T2 ON T1.subject_id = T2.hadm_id WHERE T1.diagnosis = 'DIABETIC' AND T2.starttime >= ( SELECT current_time,-30 ) AND T2.starttime < ( SELECT current_time )"
72666d852daac3bed406ef5a,What is the average time for delays in appointments at the oncology department?,,SELECT AVG(T1.C1) FROM ( SELECT JULIANDAY(apt.date) - JULIANDAY(apt_prev.date) AS C1 FROM appointments apt JOIN appointments apt_prev ON apt.patient_id = apt_prev.patient_id WHERE apt.department = 'oncology' ) AS T1
a82eabb8c0c62cfcea76d24a,How many patients with permanent residency status were admitted today?,,SELECT COUNT( DISTINCT patient_id ) FROM patients WHERE residency_status = 'permanent';
1b30621cd64122892267eb6c,What was the average difference between charge time and billing time this year?,,"SELECT AVG( ( strftime('%J',billing_time) - strftime('%J',charge_time) ) ) FROM charges_db WHERE strftime('%Y',charge_time) = strftime('%Y',current_time)"
7f333347b430444fa0a766bb,What does the efc number mean,,SELECT DISTINCT efc_number FROM procedures
732d3247063b956a96090f13,What is patient 92063's guardian's phone number?,,SELECT guardian_phone FROM patients WHERE patient_id = 92063
b33d2a1132fb824b0556644d,What are the new drug distribution routes for this year?,,SELECT DISTINCT prescriptions.route FROM prescriptions WHERE prescriptions.start_time >= '2100-01-01 00:00:00'
ac53ccba98a3999f8317cd7b,When does patient 15794 end his/her flu quarantine.,,"SELECT gt.starttime FROM ( SELECT st.starttime, st.stime FROM ( SELECT strftime('%Y-%m-%d %H:%M:%S',inputtime) as inputtime FROM ( SELECT procedures.starttime, procedures.starttime - datetime('1970-01-01 00:00:00', 'start of year', 'localtime') as starttime FROM procedures WHERE procedures.patient_id = 15794 AND procedures.starttime >= '2100-01-01 00:00:00' ) as st WHERE st.starttime < datetime('2100-01-01 00:00:00', 'start of year', 'localtime') ) as gt WHERE gt.starttime >= datetime('2100-01-01 00:00:00', 'start of year', 'localtime') - datetime('2100-01-01 00:00:00', 'start of year', 'localtime') + 1000 *"
d5619a250a533f622fa08740,Which physician performed the most number of procedures this year.,,SELECT T1.name FROM physician AS T1 JOIN procedures AS T2 ON T1.id = T2.physician_id WHERE T2.year = 2100 GROUP BY T1.id ORDER BY COUNT(*) DESC LIMIT 1
5a9ee00ab35bc444ffce03b1,How many patients with single marital status arrived between 06:00:00 and 09:00:00?,,SELECT COUNT( DISTINCT patient_id ) FROM patients WHERE marital_status = 'SINGLE' AND hour(admittime) BETWEEN 6 AND 9
87b3e4f536785307eb3c0307,⊓ what drugs are being administered for patient 24268 as sedatives?,,SELECT T1.drug FROM ( SELECT prescriptions.drug FROM prescriptions WHERE prescriptions.patient_id = 24268 AND prescriptions.drug_type_id = 3 ) AS T1 JOIN ( SELECT prescriptions.drug FROM prescriptions WHERE prescriptions.patient_id = 24268 AND prescriptions.drug_type_id = 4 ) AS T2 ON T1.drug = T2.drug
98dbae2cefdb17ea7b9dc802,List all requesters who have ordered more than 1000 lab tests this year.,,SELECT DISTINCT T1.name FROM patients AS T1 JOIN lab_tests AS T2 ON T1.subject_id = T2.subject_id WHERE T2.this_year > 1000
9d8003bd44d76d570bd5a8a7,How about what's the address of patient 22983?,,SELECT address FROM patients WHERE patient_id = 22983
628fca20b68618c255b7609b,What is the average time of delay of appointments in the cardiology department?,,SELECT AVG(T1.C1) FROM ( SELECT JULIANDAY(APPOINTMENT_TIME) - JULIANDAY(T1.C1) AS C1 FROM appointments AS T1 JOIN departments AS T2 ON T1.DEPARTMENT_ID = T2.DEPARTMENT_ID WHERE T2.DEPARTMENT_NAME = 'cardiology' ) AS T1
ef11de45a4ae2161f701ecec,What is the most common drug color prescribed to patients with diabetes?,,"SELECT T1.drug_name FROM ( SELECT prescriptions.drug_name, DENSE_RANK() OVER ( ORDER BY COUNT(*) DESC ) AS C1 FROM prescriptions WHERE prescriptions.drug_type = 'drug color' GROUP BY prescriptions.drug_name ) AS T1 WHERE T1.C1 <= 1"
804573df458a455d75cf628a,Where is hamburg de located,,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
37e79ddcdf4503d8d27520c4,What are the invoice numbers of the female patients who are not deceased?,,SELECT DISTINCT T1.invoice_number FROM patients AS T1 JOIN prescriptions AS T2 ON T1.subject_id = T2.subject_id WHERE T1.gender = 'f' AND T1.expiration_time IS NULL
adea3244a3c419ff3bd8efce,What hotel did he purchase?,,SELECT name FROM hotels WHERE id = 27279?
3ebb7dfb50f5ffe20df2a74a,What is the average value of minimum humidity among the patients who were admitted to the icu more than once?,,SELECT AVG(T1.C1) FROM ( SELECT C1 FROM ( SELECT * FROM icustays WHERE icustays.icu_duration > 10000 ) AS T1 JOIN ( SELECT icustays.icu_id FROM icustays WHERE icustays.dischtime IS NOT NULL ) AS T2 ON T1.icu_id = T2.icu_id )</s>
64e462acb79b6175bf2bbc6b,What is the most common year among patients who are not dead and are affiliated with def jam records?,,SELECT MIN(T1.C1) FROM ( SELECT YEAR(P.Birthdate) AS C1 FROM patients AS P WHERE P.affiliation = 'def jam records' AND P.dod_date IS NULL ) AS T1
74b838834d5f5d278388e052,And when does patient 12927 go into the percu abdominal drainage procedure?,,SELECT procedure_time FROM procedures WHERE procedures.patient_id = 12927 AND procedures.procedure_name = 'percu abdominal drainage'
8fb8024e79d5f38a28e0a1ee,Which performing physicians were involved in procedures for patients admitted via emergency room admission?,,"SELECT T3.p_name FROM ( SELECT T2.p_id, T2.t_name FROM ( SELECT T1.subject_id, T1.hadm_id FROM ( SELECT admissions.subject_id, diagnoses.hadm_id FROM diagnoses JOIN admissions ON diagnoses.hadm_id = admissions.hadm_id WHERE diagnoses.t_name = 'emergency room admission' ) AS T1 GROUP BY T1.subject_id HAVING MIN(diagnoses.t_time) = diagnoses.t_time ) AS T2 JOIN ( SELECT patients.p_id, procedures.p_name FROM procedures JOIN patients ON procedures.p_id = patients.p_id ) AS T3 ON T2.p_id = T3.p_id"
abcfd88c087ff9b6e46059c9,Show the average number of procedures performed per physician.,,"SELECT T1.name, AVG(T1.counts) FROM ( SELECT procedure_name AS name, COUNT(*) AS counts FROM procedures GROUP BY procedure_name ) AS T1 JOIN physicians AS T2 ON T1.name = T2.name GROUP BY T1.name"
28e916123e56f4d1556203b3,Who was the last doctor patient 32153 saw in the obstetrics and gynecology department?,,SELECT T3.name FROM patients AS T1 JOIN prescriptions AS T2 ON T1.subject_id = T2.subject_id JOIN doctors AS T3 ON T2.doctor_id = T3.doctor_id WHERE T1.subject_id = 32153 AND T2.department = 'obstetrics and gynecology' ORDER BY T2.start_time DESC LIMIT 1
f65b450597677193bcbee6c7,What were they riding on?,,SELECT vehicle FROM assistants WHERE assistant_name = 'doctor' UNION SELECT vehicle FROM patients WHERE patient_name = 'john doe'
05215f22ac565a3030674879,Please inform me of the phone number of patient 22782's guardian.,,SELECT guardian_phone FROM patients WHERE patient_id = 22782
6837c9f45272479a2b16a015,What are the record companies with patients older than 45?,,SELECT T1.company FROM patients AS T1 JOIN prescriptions AS T2 ON T1.subject_id = T2.subject_id WHERE T1.age > 45
2e3df8e7ff3e3bf2d3cf7cfe,When did michael laudrup start playing with fc barcelona?,,SELECT im_start FROM ( SELECT JULIANDAY(MIN(diagnosis_date)) as im_start FROM patients WHERE patients.name = 'michael laudrup' AND patients.current_district = 'fc barcelona' ) as subquery
e5afb16514771a25b2e457e0,List the medications prescribed to patients with a male first child.,,"SELECT T1.drug FROM ( SELECT patient.age, patient.gender FROM patients JOIN ( SELECT subject_id FROM diagnoses WHERE diagnosis_id = ( SELECT diagnosis_id FROM diagnoses WHERE diagnosis = 'male first child' ) ) AS T1 JOIN patient ON T1.subject_id = patient.subject_id WHERE patient.age < 20 ) AS T1 JOIN ( SELECT subject_id, prescriptions.drug FROM prescriptions JOIN patients ON prescriptions.patient_id = patients.subject_id WHERE patients.gender = 'm' ) AS T2 ON T1.subject_id = T2.subject_id WHERE T1.age >= T2.age"
aeb5de2344d963029c6e21b2,What is hydrochlorothiazide? what is its effect?,,SELECT effect FROM drugs WHERE drug = 'hydrochlorothiazide'
084fad161486e9cb715a0230,What are the record companies that muslim patients are affiliated with?,,SELECT DISTINCT T1.company FROM record_company AS T1 JOIN patient AS T2 ON T1.company_id = T2.insurance_company_id WHERE T2.religion = 'muslim'
855fec3a4dfb439928afa3ea,What are the top five requesters of hematology tests this year?,,1. What are the top five most common specimens for hematology tests?
b7deeb354c331dcc04a4b6c5,Tell me the address of patient 86791 and why?,,"SELECT address_city, address_state, address_country FROM patients WHERE patient_id = 86791"
0acbb8c1d8eddbb25083c49a,What are the dates of leaving the university for the patients who went into the hospital more than once this year?,,1. get a list of patients who were admitted to the hospital more than once in this year
63038cdb342e49648810baf9,List all the invoice numbers of the patients deceased last month.,,SELECT T1.invoice_number FROM patients AS T1 JOIN prescriptions AS T2 ON T1.subject_id = T2.subject_id WHERE T1.expiration_date = ( SELECT MAX(expiration_date) FROM patients ) - 1 AND T2.drug_type = 'medical'
1ae3fb2889c1b1e5dd75eb80,What did he ask michael to do?,,SELECT DISTINCT michael_tasks.task_name FROM michael_tasks WHERE michael_tasks.assistant_name = 'michael' AND michael_tasks.task_name = 'ask michael to do'
19bcedd102d2f4e60b3948f6,Who are the top five requesters of lab tests?,,1. What are the top five most common specimens for patients who received a laboratory test since 2100?
9e6e0d6ac2a6f5bf754653c7,What medication is prescribed for the patients diagnosed with atrial fibrillation?,,"SELECT T1.drug FROM ( SELECT patient_id, diagnosis_id FROM diagnoses WHERE diagnosis_name = 'atrial fibrillation' ) AS T1 JOIN prescriptions AS T2 ON T1.patient_id = T2.patient_id AND T1.diagnosis_id = T2.diagnosis_id"
4d49829249a5b147348db1dd,Count the number of procedures that resulted in a 'successful' outcome this year.,,"SELECT COUNT(*) FROM procedures WHERE procedures.outcome = 'successful' AND datetime(procedures.starttime,'start of year') = datetime(current_time,'start of year','-0 year')"
f651029a2b6efc526940f746,What other polls has he been part of?,,"SELECT T1.Cui FROM ( SELECT Cui, Name FROM procedures WHERE parent_id = 10037410 ) AS T1 JOIN ( SELECT Cui, Name FROM procedures WHERE parent_id = 10037410 AND status = 'completed' ) AS T2 ON T1.Cui = T2.Cui"
445d2ee4fe0aa4c4b936452e,Which type of care unit has the patient with the highest page count?,,"SELECT care_unit_type FROM ( SELECT care_unit, care_unit_type FROM ( SELECT current_patient, care_unit, care_unit_type FROM ( SELECT patient_id, care_unit_type FROM ( SELECT patient_id, care_unit FROM ( SELECT patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ( patient_id, ( SELECT ("
e4739af1bea47bc15c31b32f,List all the intimes of the icu with page counts lower than 20.,,SELECT icu.intime FROM icu WHERE icu.pagecount < 20
480c96ab33f733cbd12262fc,What are the 10 most common side effects of clarithromycin??,,10 common side effects of clarithromycin??
6fd26774e0c807375b7c1739,Why did nicholas sparks divorce his wife,,SELECT divorce_reason FROM patients WHERE patient_name = 'nicholas sparks'
5969ab3416ff62f387b82377,What is a band saw used for,,SELECT DISTINCT T1.name FROM procedures AS T1 JOIN instruments AS T2 ON T1.instrument = T2.code WHERE T2.type = 'band saw'
c92492feda1eb0a1ebcc05f2,List all icu stays during which input medication was administered by hwid1007 at least once.,,SELECT COUNT( DISTINCT icustay_id ) FROM icustays WHERE icustays.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.staff_id = 1007 ) AND icustays.outtime IS NOT NULL
9bcad6eaf94f60b03a7e3d5c,What is team bella all about ?,,SELECT * FROM patients WHERE patients.gender = 'f' AND patients.age < 25
76b834589d3ed7bfa7941cb6,What were some notable times of their early years?,,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
e934023e9a0c16821526e87b,What religion has the highest number of standing tackles made by its believers?,,"SELECT T1.religious_group, T1.count FROM ( SELECT 'islam' AS religious_group, COUNT(*) AS count FROM patients WHERE patients.gender = 'male' AND patients.age BETWEEN 18 AND 30 ) AS T1 JOIN ( SELECT religious_group FROM religious_groups WHERE lower(religious_group) = 'islam' ) AS T2 ON T1.religious_group = T2.religious_group ORDER BY T1.count DESC LIMIT 1"
4d46191e82d4f85bb2fa256b,How many patients admitted to the icu this year have passwords longer than 8 characters?,,"SELECT COUNT( DISTINCT icustay_id ) FROM icustays WHERE icustay_id IN ( SELECT icustay_id FROM procedures WHERE procedures.result = 'password given' AND datetime(procedures.starttime,'start of year') = datetime(current_time,'start of year','-0 year') ) AND strftime('%Y-%m-%d',icustays.intime) = strftime('%Y-%m-%d',current_time)"
4a3ee987d5eed4cb8fc7cbfd,How many different healthcare workers administered input medication to patient 10001?,,SELECT COUNT( DISTINCT staff_id ) FROM input_events WHERE patient_id = 10001
8541dd3e79a2524eef7946e9,Call a medical laboratory to expedite test results.,,100 common of the top three most frequent specimens were tested.
3d269b39239d5b96ed89fd1a,What is the most common location among hospitals?,,SELECT location FROM hospitals GROUP BY location ORDER BY COUNT(*) DESC LIMIT 1
dde7888943c5ce032cffd4e6,How long does it take to get a refund back on your debit card from express returns,,100% refund
d0d2cc96940ac2b577ba70ca,Where did she never go?,,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2574356f8e9c787e824fdb9b,Skullcandy bluetooth headphones,,"100% of patients who were diagnosed with chronic kidney disease, unspecified in 2100 were in their 60s."
698048f875f64bb38d8c5ef7,What was his first attempt?,,1. What was the first time patient 10004720 was prescribed a medication via the po/ng route?
569f949477cd2fda2d4ea751,What is the difference in the average number of hospital visits per year for patients based on whether their first child is male or female?,,SELECT AVG(T1.C1) FROM ( SELECT COUNT(DISTINCT diagnosis_id) AS C1 FROM patients WHERE patients.gender = 'female' GROUP BY patients.age ) AS T1 JOIN ( SELECT patients.age FROM patients WHERE patients.gender = 'male' AND patients.age < 100 ) AS T2 ON T1.age = T2.age
30d461a261559030034e3257,What are the record companies of the deceased patients?,,SELECT DISTINCT T1.record_company FROM patients AS T1 JOIN demographics AS T2 ON T1.demographic_id = T2.demographic_id WHERE T2.expiration_time = 'expired'
7c4dc59f08a2b6a96b7a1256,Are you able to find a procedure appointment for patient 63849 for today?,,"SELECT COUNT(*)>0 FROM appointments WHERE appointments.patient_id = 63849 AND datetime(appointments.start_time,'start of day') = datetime(current_time,'start of day','-0 day')"
f50b75b54af03eb23b73abc1,What key is alto sax in,,"SELECT T1.key FROM ( SELECT 'alto sax' AS key, 'diagnosis' AS key_type, 'alcohol abuse' AS value_type, 'alcohol abuse' AS value, '10/2100' AS age, 'male' AS gender, 'unspecified' AS ethnicity, 'unspecified' AS marital_status, 'unspecified' AS employment_status, 'unspecified' AS reside_in_hospital, 'unspecified' AS insurance, 'unspecified' AS avaiability_of_pharmacy, 'unspecified' AS count_of_pharmacy_visits, 'unspecified' AS last_pharmacy_visit_time, 'unspecified' AS last_stay_in_hospital, 'unspecified' AS last_stay_in_hospital_days, 'unspecified' AS last_stay_in_hospital_cost ) AS T1 JOIN ( SELECT T1.key, T2.value FROM ( SELECT 'alto sax' AS key, 'diagn"
b205cf40fe142d699a05c9ab,Tell me the address of patient 2536 and why?,,"SELECT address_city, address_state, address_country FROM patients WHERE patient_id = 2536"
17928f8215ac5734b7521160,Count the number of primary physicians who have admitted their patients to the hospital more than three times in the past year.,,"SELECT COUNT(DISTINCT t1.im_id) FROM ( SELECT admissions.im_id, COUNT(*) as num_visits FROM admissions WHERE admissions.admission_type = 'primary physician' AND datetime(admissions.admittime,'start of year') = datetime(current_time,'start of year','-1 year') GROUP BY admissions.im_id ) as t1 WHERE t1.num_visits > 3"
20bc21d443c654119da97d29,What are the names of the advisors of the patients classified as emergency at admission this year?,,"SELECT T2.Name FROM ( SELECT T1.subject_id, T1.admission_time FROM ( SELECT subject_id, admission_time FROM patients WHERE admission_type = 'emergency' ) AS T1 GROUP BY subject_id HAVING MIN(admission_time) = T1.admission_time AND datetime(T1.admission_time,'start of year') = datetime(current_time,'start of year','-0 year') ) AS T2 JOIN patients ON T2.subject_id = patients.subject_id"
0ddd6dc18709a713a76158e8,Where can i find the phone number of patient 73913's guardian?,,SELECT guardian_phone FROM patients WHERE patient_id = 73913
da76927d0eff934f23b6003e,Can you tell me what the drug can be prescribed for patients with esoph varice oth dis nos?,,SELECT T1.drug FROM ( SELECT diagnoses.drug FROM diagnoses WHERE diagnoses.diagnosis = 'esoph varice oth dis nos' ) AS T1 JOIN ( SELECT prescriptions.drug FROM prescriptions WHERE prescriptions.principal_drug = 'dilacarb' ) AS T2 ON T1.drug = T2.drug
a5cc39d6ea1c9729e9cb051e,Identify 10 crucial factors influencing lab tests.,,1. what are the top three most frequent lab tests that patients had after being diagnosed with other and unspecified hypercholesterolemia?
73529036e49e5922c0bc40a0,Was patient 5364 signed a blood transfusion consent form?,,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7e2dcdd483a3830f19e16b07,Navigate to the pediatric wing from the main parking area.,,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
86839ccf835440d41b40bfa2,Which doctor did patient 71558 see when heshe last visited the rheumatology department?,,SELECT T3.name FROM patients AS T1 JOIN prescriptions AS T2 ON T1.subject_id = T2.subject_id JOIN doctors AS T3 ON T2.medical_provider_id = T3.employee_id WHERE T1.subject_id = 71558 AND T3.department = 'rheumatology'
3b19e4a9f4401f94414ae3a6,When does patient 370 end his/her flu quarantine.,,"SELECT gt.starttime FROM ( SELECT st.starttime, st.stime FROM ( SELECT st.starttime, st.stime FROM diagnoses st WHERE st.diagnosis = 'flu' AND st.hadm_id IN ( SELECT adm.hadm_id FROM adm WHERE adm.subject = 370 ) ) as t1 GROUP BY st.starttime HAVING MIN(st.stime) = st.stime ) as t2 JOIN ( SELECT adm.hadm_id, adm.stay_id, adm.stime FROM adm WHERE adm.subject = 370 AND adm.dischtime IS NOT NULL ) as t3 ON t2.hadm_id = t3.hadm_id AND t2.starttime = t3.stime"
659187a74e57637b35daa280,Look up the latest technology used in curing atrial fibrillation.,,"SELECT T1.tech_name FROM ( SELECT procedures.tech_name, procedures.start_time FROM procedures WHERE procedures.diagnosis = 'atrial fibrillation' ) AS T1 JOIN ( SELECT procedures.tech_name, procedures.start_time FROM procedures WHERE procedures.diagnosis = 'atrial fibrillation' AND procedures.status = 'in use' ) AS T2 ON T1.tech_name = T2.tech_name WHERE T1.start_time < T2.start_time ORDER BY T1.start_time DESC LIMIT 1"
5884aff3bbac9bfd0ff165a9,What is haloperidol? what is its effect?,,SELECT effects FROM drugs WHERE drugs.drug_name = 'haloperidol'
4b6353ec5a31b5c1bf637734,Which ethnicity has the highest average page count?,,"SELECT ethnicity, AVG(page_count) FROM medications GROUP BY ethnicity ORDER BY AVG(page_count) DESC LIMIT 1"
f7908eda301fbcbf66fd2c26,Which are the top 10 side effects reported for drug thiamine hcl?,,10 side effects were found for thiamine hcl.
9894aa0117f387ccc3c0a4ce,What was the latest arrival time for patients yesterday?,,SELECT MAX(transfer_time) FROM transfers WHERE transfer_time >= ( SELECT MAX(transfer_time) FROM transfers WHERE transfer_time >= current_time - INTERVAL '1 year' )
767d0e3e0e6a4254a995ac8e,What is the age of the patient who has succeeded in the most standing tackles?,,"10000343 is the patient id.
        SELECT age FROM patients WHERE patient_id = 10000343"
2911905f7b71dc9ee7583199,List the requesters who have ordered more than 100 hemoglobin tests.,,"SELECT T1.CustKey FROM ( SELECT T1.CustKey, COUNT(T1.charttime) as num_tests FROM labevents T1 JOIN prescriptions T2 ON T1.presc_id = T2.presc_id WHERE T2.drug = 'hemoglobin' GROUP BY T1.CustKey ) AS T1 WHERE T1.num_tests > 100"
03c8bb9cb2716f43621cb14b,Whose phone number is the phone number of patient 40707's guardian?,,SELECT guardian.phone FROM patients WHERE patients.subject_id = 40707
15266b6704cdb1f8cd452e63,How do care unit choices in icus affect patient outcomes?,,1. what are the four most common care unit choices for patients who were diagnosed with other and unspecified hypercholesterolemia in the same hospital visit?
4e38bd109d02c58e7d3b58fe,Call a medical supply company to order more icu equipment.,,1. order a reagent (blood)
95ed91ecefd97f4f68d59794,What is the marital status that has the most patients over 30 years of age affiliated with warner brothers records?,,SELECT marital_status FROM patients WHERE age > 30 AND affiliation = 'warner brothers records' GROUP BY marital_status ORDER BY COUNT( DISTINCT patient_id ) DESC LIMIT 1
9b3b15e5a997276568cf4fde,Percent of population considered pre diabetes,,100.0 * ( SELECT COUNT( DISTINCT patient_id ) FROM diagnoses WHERE diagnosis = 'pre diabetes' ) / ( SELECT COUNT( DISTINCT patient_id ) FROM patients )
5c639b834d848ab32371b285,Create a budget plan for the upcoming fiscal year.,,1. get the total amount of inputs for patient 10004720 in the current hospital visit
be77b0162456496c3c5866e3,List the medication administrations by hwid1020 to patients.,,SELECT prescriptions.drug FROM assistants JOIN patients ON assistants.patient_id = patients.subject_id JOIN prescriptions ON assistants.prescription_id = prescriptions.prescription_id WHERE assistants.assistant_name = 'hwid1020'
7e1a9a31db03ad3e9603cf9c,When is the issue coming out?,,SELECT issue_date FROM mrs WHERE mrs.hadm_id IN ( SELECT hadm_id FROM admissions WHERE admissions.subject_id = 10004733 ) AND mrs.dischtime IS NULL
cc01a7a7a65eb126616c7e07,Did he find a person?,,00000-0000-0000-0000-0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
